年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,6.05,0.97,8.74,5.11,0.7
2019,2.69,0.11,1.07,0.63,0.15
2018,1.83,-0.44,-4.66,-2.78,0.0
2017,3.58,-0.25,-2.23,-1.38,0.0
2016,6.97,0.78,6.53,4.04,0.6
2015,7.28,1.16,9.78,5.71,0.85
2014,5.09,0.94,8.14,4.33,0.6
2013,3.1,0.44,3.78,1.88,0.45
2012,1.3,0.49,4.32,2.02,0.0
2011,-1.12,-0.35,-3.44,-1.57,0.0
2010,0.28,-0.47,-4.44,-2.04,0.0
2009,2.87,0.26,2.3,1.02,0.17
2008,1.82,-0.08,-0.84,-0.36,0.0
2007,3.23,0.31,2.89,1.34,0.25
2006,3.97,0.67,6.0,2.88,0.45
2005,3.24,0.55,4.89,2.28,0.45
2004,2.37,0.44,4.07,1.8,0.3
2003,1.27,0.21,1.99,0.85,0.15
2002,0.93,0.17,1.71,0.72,0.11
2001,-0.38,-0.66,-6.38,-2.78,0.0
2000,2.3,-1.08,-9.59,-4.44,0.0
1999,8.63,0.07,0.58,0.27,0.0
1998,10.7,0.63,4.78,2.17,0.0
1997,10.35,0.38,2.92,1.38,0.5
1996,12.68,1.04,7.67,3.5,0.5
1995,12.39,0.19,1.34,0.55,0.5
1994,16.16,1.26,8.26,3.3,0.7
