年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,11.9,1.6,6.66,3.06,1.35
2019,11.68,1.03,4.25,1.78,1.2
2018,11.69,0.79,3.23,1.24,1.1
2017,12.25,1.51,5.96,2.46,1.25
2016,12.61,2.0,7.4,3.45,1.8
2015,14.53,4.11,14.27,7.16,3.0
2014,15.42,5.51,19.71,8.99,4.5
2013,12.92,5.06,20.58,8.84,3.5
2012,11.65,4.85,21.76,9.95,3.89
2011,11.25,4.9,24.23,11.78,3.5
2010,9.33,4.44,23.6,11.94,3.2
2009,7.36,3.71,21.52,11.28,2.7
2008,5.43,3.39,22.63,11.92,2.0
2007,3.91,2.55,17.47,8.81,1.8
2006,3.11,2.11,15.88,6.44,1.6
2005,2.16,1.39,11.07,3.8,1.0
