年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,6.95,0.2,1.29,0.86,0.25
2019,7.31,0.56,3.58,2.51,0.5
2018,7.24,0.76,4.91,3.35,0.5
2017,6.95,0.68,4.4,3.07,0.6
2016,7.37,1.42,9.13,6.65,1.0
2015,6.84,1.67,11.34,8.23,1.0
2014,5.05,0.32,2.29,1.65,0.2
2013,4.9,0.29,2.02,1.46,0.2
2012,5.72,1.8,10.96,7.74,1.0
2011,5.63,3.73,27.9,19.39,2.0
2010,1.18,0.28,2.46,1.75,0.25
2009,1.06,0.2,1.76,1.22,0.19
2008,1.65,0.74,6.1,4.21,0.66
2007,1.74,0.9,7.67,5.41,0.73
2006,1.81,0.62,5.41,3.72,0.86
2005,2.29,1.05,9.81,6.19,0.88
2004,-3.62,-2.73,-29.17,-18.25,0.0
2003,2.23,0.69,6.33,3.5,0.6
2002,2.47,1.17,10.95,5.24,0.08
2001,0.31,0.9,9.6,4.43,0.0
2000,-1.18,0.13,1.51,0.62,0.0
