季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,6.42,1.24,4.05,3.2
2020Q4,5.85,1.61,5.68,4.46
2020Q3,5.13,2.0,7.5,5.5
2020Q2,4.21,1.69,6.46,4.73
2020Q1,5.42,0.9,3.45,2.75
2019Q4,5.01,1.67,6.02,4.78
2019Q3,4.33,0.9,3.39,2.5
2019Q2,3.96,1.02,3.67,2.77
2019Q1,5.33,1.21,4.21,3.4
2018Q4,4.82,0.56,2.03,1.63
2018Q3,4.6,0.71,2.59,1.99
2018Q2,4.31,1.6,5.78,4.47
2018Q1,5.16,1.75,6.42,5.19
2017Q4,4.34,1.95,6.89,5.63
2017Q3,3.63,0.81,3.0,2.41
2017Q2,3.33,1.19,4.35,3.53
2017Q1,4.1,0.73,2.41,2.01
2016Q4,3.88,1.72,5.66,4.76
2016Q3,3.31,1.05,4.22,3.7
2016Q2,2.92,0.5,1.83,1.64
2016Q1,2.75,0.57,2.14,1.9
2015Q4,2.79,0.67,2.67,2.34
2015Q3,2.57,0.28,1.1,0.95
2015Q2,2.47,-1.37,-5.62,-4.97
2015Q1,3.11,-0.42,-1.68,-1.5
2014Q4,3.25,0.65,2.53,2.23
2014Q3,3.03,-0.15,-0.55,-0.48
2014Q2,3.08,-0.33,-1.26,-1.1
