年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,39.68,6.52,21.97,15.42,3.49
2019,34.24,5.9,18.19,13.53,2.2
2018,32.86,6.2,19.98,15.76,5.0
2017,29.84,5.86,20.07,15.88,4.6
2016,27.05,5.23,19.0,15.09,4.0
2015,23.82,4.08,15.65,12.19,3.0
2014,21.64,3.5,14.29,10.53,2.6
2013,20.79,4.05,15.72,11.45,2.0
2012,19.36,4.1,16.71,12.46,3.0
2011,16.93,3.63,15.05,11.1,2.6
2010,17.43,4.87,21.12,15.41,4.0
2009,14.26,3.51,17.18,12.0,2.5
2008,11.66,2.36,11.38,6.84,1.5
2007,12.69,4.15,20.55,10.69,3.0
2006,10.12,3.37,17.93,8.66,1.0
2005,8.13,3.0,17.12,8.32,1.0
2004,8.76,4.35,20.69,10.27,2.0
