季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,5.23,2.16,9.9,3.88
2020Q4,3.57,0.34,1.64,0.66
2020Q3,3.35,-1.03,-5.25,-2.0
2020Q2,4.04,0.55,2.84,1.0
2020Q1,3.75,2.28,12.86,4.88
2019Q4,2.24,-0.38,-2.43,-1.16
2019Q3,2.51,0.73,4.43,2.37
2019Q2,2.02,-0.83,-4.75,-2.9
2019Q1,3.95,0.62,3.57,2.44
2018Q4,3.53,0.34,1.89,1.15
2018Q3,3.34,0.9,5.55,2.89
2018Q2,2.82,1.34,8.1,3.81
2018Q1,3.15,0.61,4.2,1.88
2017Q4,2.81,0.81,5.26,2.23
2017Q3,2.4,1.63,12.72,5.38
2017Q2,1.5,2.19,16.6,7.36
2016Q4,0.39,2.35,21.43,7.87
2016Q2,-1.11,1.63,,
2015Q4,-0.81,,,
2015Q2,0.51,,,
2014Q4,2.05,35.3,83.52,14.3
2014Q2,2.03,34.05,86.56,11.88
2013Q4,1.62,35.05,87.83,10.97
2013Q2,1.62,27.64,85.11,13.19
2012Q4,0.69,47.74,86.69,11.97
2012Q2,0.84,33.46,84.88,13.36
2011Q4,0.89,47.62,85.81,11.7
2011Q2,1.1,47.69,87.98,11.09
