季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,180.4,0.61,3.97,2.17
2020Q4,162.5,0.77,5.1,2.77
2020Q3,137.7,0.48,3.38,1.87
2020Q2,123.8,-0.11,-0.93,-0.12
2020Q1,126.9,-0.29,-2.14,-0.84
2019Q4,135.3,0.01,0.08,0.09
2019Q3,135.5,-0.15,-1.03,-0.32
2019Q2,139.8,-0.26,-1.75,-0.71
2019Q1,156.1,-0.1,-0.73,-0.17
2018Q4,159.1,0.01,-0.07,0.18
2018Q3,161.7,-0.03,-0.23,0.08
2018Q2,164.7,0.13,0.75,0.58
2018Q1,175.5,0.26,1.6,1.14
2017Q4,167.7,0.32,1.99,1.34
2017Q3,157.1,0.28,1.74,1.2
2017Q2,149.1,0.13,0.86,0.67
2017Q1,145.1,,-0.05,0.2
2016Q4,145.1,-0.14,-0.89,-0.25
2016Q3,148.9,-0.12,-0.72,-0.15
2016Q2,152.0,-0.24,-1.53,-0.52
2016Q1,158.1,-0.14,-0.93,-0.23
2015Q4,161.6,-0.53,-2.92,-1.27
2015Q3,179.5,-0.61,-3.2,-1.36
2015Q2,193.9,-0.3,-1.59,-0.58
