年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,742.0,4.32,13.1,7.4,3.5
2019,656.3,4.43,12.54,7.15,2.5
2018,615.9,4.37,12.94,7.34,3.31
2017,490.2,2.03,6.88,3.83,1.5
2016,473.4,1.72,5.84,3.16,1.45
2015,455.7,1.56,4.36,2.36,1.33
2014,495.3,2.93,10.51,5.76,2.49
2013,472.7,2.72,10.24,5.43,2.3
2012,441.1,2.1,7.38,3.73,1.9
2011,204.5,2.33,10.82,5.24,1.9
2010,192.2,2.43,11.87,5.74,2.0
2009,171.1,2.26,12.23,5.98,1.8
2008,140.4,1.75,6.7,3.42,1.32
2007,151.9,2.55,12.37,6.32,1.9
2006,132.4,2.2,12.03,5.44,1.7
2005,116.3,1.97,11.47,4.79,1.41
2004,98.19,1.59,9.19,3.66,0.7
2003,76.92,0.6,3.04,1.13,0.35
2002,66.6,0.02,0.52,0.18,0.1
2001,52.42,0.05,0.38,0.13,0.0
2000,50.53,0.46,2.38,0.89,0.0
1999,61.08,1.2,6.25,2.74,0.2
1998,49.23,1.6,8.4,4.09,0.2
1997,59.18,1.18,6.7,3.39,0.5
1996,50.96,1.16,7.64,3.96,0.2
1995,54.89,1.76,11.03,6.26,0.5
1994,66.17,1.85,11.84,7.25,1.0
