年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,36.06,3.09,9.99,5.97,2.8
2019,40.72,5.57,17.64,10.9,5.0
2018,40.47,6.5,21.3,13.21,5.3
2017,36.84,5.0,17.62,11.61,4.6
2016,36.02,4.45,15.66,11.85,4.5
2015,36.58,5.37,17.66,14.87,4.5
2014,44.06,9.5,29.69,25.81,8.3
2013,41.94,9.6,32.54,28.11,8.3
2012,37.34,8.55,30.53,26.05,7.4
2011,37.42,9.76,36.91,30.9,8.0
2010,32.01,8.32,35.03,29.76,7.2
2009,26.13,5.64,26.58,22.8,5.6
2008,24.17,6.28,30.97,26.03,4.65
2007,22.8,6.69,32.84,27.81,5.0
2006,19.07,5.94,31.4,25.4,4.3
2005,16.45,5.36,29.16,22.18,4.2
2000,7.12,3.59,28.55,19.29,4.5
1999,3.96,1.95,15.75,9.09,3.6
