年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,-5.35,2.63,46.82,27.69,0.0
2019,-9.31,-2.37,-43.12,-24.13,0.0
2018,-5.75,-2.13,-27.69,-16.64,0.0
2017,-2.55,-2.32,-30.2,-20.3,0.0
2016,-3.86,-1.91,-18.97,-14.85,0.0
2015,-3.52,-1.78,-14.51,-11.48,0.0
2014,-0.48,-0.39,-2.96,-2.19,0.0
2013,0.3,0.15,1.2,0.8,0.0
2012,-2.95,-1.46,-10.83,-6.77,0.0
2011,-0.9,-0.47,-3.33,-2.16,0.0
2010,-1.23,-0.68,-4.68,-2.82,0.0
2009,0.52,1.23,8.36,4.53,0.0
2008,-2.67,-1.9,-13.86,-6.55,0.0
2007,0.44,0.16,1.18,0.51,0.0
2006,0.21,-0.91,-7.72,-3.69,0.0
2005,2.96,2.13,17.12,9.23,0.0
2004,1.3,1.01,8.54,5.46,0.0
2003,0.12,0.61,5.57,3.42,0.0
2002,-0.6,0.16,1.53,0.84,0.0
