年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,1501.0,1.62,4.8,2.18,1.35
2019,1508.0,2.15,6.1,2.88,1.5
2018,1492.0,2.41,7.03,3.4,1.8
2017,1417.0,1.61,5.59,2.76,1.2
2016,1374.0,1.26,4.96,2.46,0.8
2015,1369.0,1.61,5.61,2.89,1.0
2014,1367.0,2.21,6.5,3.51,1.2
2013,1326.0,2.75,9.73,5.14,1.3
2012,523.9,0.98,6.6,3.34,1.3
2011,275.7,2.26,11.1,5.68,1.7
2010,272.9,2.7,13.67,7.1,2.0
2009,213.1,1.74,10.66,5.43,1.3
2008,177.7,1.01,7.48,3.8,0.8
2007,233.4,2.54,12.78,6.62,1.8
2006,194.8,1.92,12.04,6.06,1.3
2005,182.4,2.04,13.99,6.81,1.0
2004,173.9,2.43,19.84,8.18,1.0
2003,123.4,1.17,7.26,2.33,0.5
2002,103.8,0.7,4.54,1.42,0.3
2001,86.3,0.23,1.24,0.45,0.2
2000,85.34,0.07,0.37,0.15,0.2
1999,102.0,1.16,5.92,2.53,0.3
1998,81.49,0.42,2.2,1.0,0.3
1997,99.46,1.38,7.13,3.3,0.3
1996,81.99,0.64,3.56,1.48,0.2
1995,84.4,1.53,8.4,3.37,0.3
1994,77.88,1.76,8.69,3.49,0.3
