年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,-2.59,0.01,0.11,0.06,0.0
2019,-2.61,-0.31,-3.7,-1.94,0.0
2018,-1.76,0.06,0.66,0.32,0.0
2017,-2.14,-0.58,-6.64,-3.2,0.0
2016,-1.03,0.11,1.22,0.58,0.0
2015,-1.17,1.01,11.51,4.93,0.0
2014,-3.06,-1.0,-11.44,-5.12,0.0
2013,-1.06,0.02,0.19,0.09,0.0
2012,-1.07,0.07,0.74,0.35,0.0
2011,-1.97,-1.02,-10.81,-5.15,0.0
2010,-0.72,-0.38,-3.88,-2.01,0.0
2009,-0.28,-0.31,-3.04,-1.62,0.0
2008,0.31,-1.29,-11.63,-5.42,0.0
2007,2.76,-0.74,-5.64,-2.32,0.0
2006,4.9,0.93,5.93,2.51,0.2
2005,4.05,0.73,4.92,2.44,0.28
2004,3.55,0.78,5.3,2.94,0.3
2003,2.44,0.01,0.05,0.03,0.0
2002,2.47,0.77,4.64,3.1,0.0
2001,1.57,-0.51,-2.98,-2.07,0.0
2000,2.12,0.64,3.36,2.48,0.0
