季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,-0.63,-0.24,-3.3,-2.34
2020Q4,-0.58,-0.22,-2.88,-1.95
2020Q3,-0.53,-0.49,-6.0,-3.68
2020Q2,-0.42,0.1,1.07,0.62
2020Q1,-0.44,-0.58,-6.45,-3.39
2019Q4,-0.31,0.97,10.94,5.04
2019Q3,-0.53,-0.41,-4.83,-2.08
2019Q2,-1.81,-0.71,-12.01,-5.26
2019Q1,-1.97,-0.48,-7.35,-3.38
2018Q4,-1.79,-0.66,-9.01,-4.14
2018Q3,-1.55,-0.64,-5.45,-2.49
2018Q2,-1.39,-0.51,-6.72,-3.05
2018Q1,-1.22,-1.25,-16.69,-8.49
2017Q4,-0.78,-1.71,-18.84,-11.66
2017Q3,-0.17,1.19,12.77,8.72
2017Q2,-0.59,-0.14,-1.65,-1.27
2017Q1,-1.92,-0.95,-10.22,-8.43
2016Q4,-1.58,-0.73,-7.08,-5.69
2016Q3,-1.32,-1.78,-15.57,-12.8
2016Q2,-0.7,-1.09,-8.53,-7.15
2016Q1,-1.69,-0.9,-6.51,-5.5
2015Q4,-1.37,-1.31,-9.22,-7.79
2015Q3,-0.99,-1.08,-8.83,-7.58
2015Q2,-0.69,-1.48,-10.91,-9.74
2015Q1,-0.4,-0.94,-6.34,-5.56
2014Q4,-0.13,-1.26,-7.91,-6.84
2014Q3,0.22,-0.86,-5.06,-4.36
2014Q2,0.47,-0.6,-3.37,-2.86
