季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,-2.57,-0.48,-24.11,-6.97
2020Q4,-2.42,-0.72,-19.33,-7.61
2020Q3,-2.99,-1.09,-41.47,-11.77
2020Q2,-1.56,-1.18,-58.16,-10.53
2020Q1,-1.35,-1.94,-46.11,-11.66
2019Q4,-1.06,-1.98,-38.18,-9.97
2019Q3,-0.7,-1.87,-26.36,-6.36
2019Q2,-2.14,-0.31,-7.35,-1.68
2019Q1,-2.01,-1.26,-13.69,-3.6
2018Q4,-1.78,-1.24,-22.13,-7.34
2018Q3,-1.34,-1.07,-8.31,-2.66
2018Q2,-1.14,-0.07,-1.0,-0.3
2018Q1,-1.6,-1.11,-15.04,-5.3
2017Q4,-1.19,-0.63,-7.67,-3.09
2017Q3,-0.96,-1.12,-12.24,-5.01
2017Q2,-0.56,-1.07,-10.41,-4.62
2017Q1,-0.78,-0.49,-4.44,-2.12
2016Q4,-0.6,-1.04,-8.85,-4.44
2016Q3,-0.23,-0.27,-2.19,-1.07
2016Q2,-0.14,-0.36,-2.85,-1.4
2016Q1,-0.005,-0.11,-0.82,-0.41
2015Q4,0.033,-0.81,-6.06,-3.1
2015Q3,0.33,-0.24,-1.72,-0.84
2015Q2,0.42,0.06,0.45,0.22
2015Q1,0.66,0.57,3.92,2.01
2014Q4,0.45,-0.12,-0.81,-0.42
2014Q3,0.49,0.54,3.82,1.81
2014Q2,0.3,-0.07,-0.47,-0.23
