季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,4.22,0.53,2.55,1.72
2020Q4,3.91,0.27,1.32,0.82
2020Q3,3.78,0.42,2.37,1.27
2020Q2,3.56,0.45,2.3,1.23
2020Q1,6.04,1.27,5.58,3.19
2019Q4,5.42,1.62,7.57,4.17
2019Q3,4.63,1.2,6.02,3.01
2019Q2,4.04,1.64,8.01,4.03
2019Q1,5.21,1.52,7.41,4.02
2018Q4,4.47,1.85,9.85,5.35
2018Q3,3.53,1.03,5.85,2.9
2018Q2,3.02,0.95,4.95,2.54
2018Q1,5.02,0.41,1.94,1.1
2017Q4,4.82,1.31,6.56,3.54
2017Q3,4.17,1.77,9.67,4.78
2017Q2,3.29,1.47,8.01,4.02
2017Q1,4.58,1.1,5.27,2.88
2016Q4,4.09,1.86,9.57,5.32
2016Q3,3.31,1.4,7.8,4.21
2016Q2,2.69,1.68,9.09,5.15
2016Q1,3.72,0.83,4.26,2.71
2015Q4,3.35,1.27,6.83,4.41
2015Q3,2.82,1.11,6.43,3.82
2015Q2,2.33,0.72,3.95,2.36
2015Q1,4.32,1.36,6.13,3.87
2014Q4,3.8,2.15,10.37,6.16
2014Q3,3.02,2.51,13.68,7.5
2014Q2,2.06,1.35,8.89,5.1
