季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,-28.78,-0.01,-5.29,-0.32
2020Q4,-28.75,-0.19,-42.16,-3.17
2020Q3,-28.4,0.03,8.9,0.75
2020Q2,-28.45,-0.08,-15.38,-1.31
2020Q1,-28.3,-0.01,-3.16,-0.28
2019Q4,-28.28,-0.09,-13.12,-1.23
2019Q3,-28.06,0.14,25.47,2.23
2019Q2,-28.34,0.33,110.9,5.43
2019Q1,-29.0,0.0,-3.65,-0.09
2018Q4,-29.01,0.0,-14.94,-0.21
2018Q3,-28.9,0.04,432.1,0.62
2018Q2,-28.92,0.01,35.49,0.19
2018Q1,-28.95,-0.05,-968.0,-0.74
2017Q4,-29.6,0.11,272.9,1.85
2017Q3,-29.78,0.08,53.26,1.15
2017Q2,-29.94,-0.39,-2793.0,-6.09
2017Q1,-29.22,-0.09,-40.36,-1.25
2016Q4,-29.05,0.27,192.4,3.11
2016Q3,-29.46,-0.07,-414.8,-0.91
2016Q2,-29.37,-0.18,-194.9,-2.62
2016Q1,-29.19,-0.39,-110.8,-5.19
2015Q4,-28.45,-0.2,-35.61,-2.69
2015Q3,-28.13,-0.01,-1.16,-0.1
2015Q2,-28.11,0.26,43.86,3.28
2015Q1,-28.62,-0.41,-61.43,-4.63
2014Q4,-27.81,-0.47,-44.06,-5.42
2014Q3,-26.88,-0.24,-14.59,-2.42
2014Q2,-26.4,-0.4,-20.2,-3.99
