年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,94.97,2.25,12.93,7.64,1.0
2019,77.57,1.19,6.73,3.63,0.5
2018,68.15,0.5,5.26,2.81,0.3
2017,67.39,1.06,8.11,4.29,0.3
2016,64.75,1.15,7.55,3.98,0.5
2015,59.31,0.85,4.95,2.65,0.5
2014,55.71,0.62,2.02,1.07,0.4
2013,56.33,0.79,5.44,2.96,0.6
2012,59.79,1.63,9.35,5.06,1.0
2011,64.3,3.51,16.94,9.05,1.0
2010,53.83,3.62,18.98,9.98,1.0
2009,39.83,2.78,15.69,7.67,0.8
2008,19.65,0.1,-4.31,-2.06,0.0
2007,30.9,2.01,9.72,4.63,1.5
2006,21.86,0.82,4.97,2.28,0.7
2005,21.36,0.93,3.73,1.81,0.7
2004,22.62,1.33,11.23,6.04,1.0
2003,16.26,0.26,2.15,1.07,0.5
2002,14.25,0.02,0.19,0.09,0.0
2001,12.4,-0.3,-2.49,-1.2,0.0
2000,14.67,-0.1,-0.83,-0.41,0.0
1999,22.56,1.13,8.74,4.3,0.4
1998,19.29,0.7,5.36,2.45,0.0
1997,24.96,2.14,15.1,8.19,0.0
1996,20.52,1.88,13.74,9.85,0.5
1995,15.48,1.25,8.98,6.53,0.0
