年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,-7.93,-2.19,-41.5,-14.76,0.0
2019,-4.58,-2.52,-34.29,-12.83,0.0
2018,-1.43,-0.95,-10.46,-4.54,0.0
2017,-0.28,-0.12,-0.92,-0.43,0.0
2016,-0.12,0.17,1.68,0.82,0.0
2015,-0.27,0.29,2.41,1.27,0.0
2014,-0.61,0.11,0.56,0.32,0.0
2013,-0.62,-0.69,-7.06,-4.13,0.0
2012,-1.33,-0.68,-5.83,-2.9,0.0
2011,-2.5,0.43,4.12,1.79,0.0
2010,-2.94,-1.01,-6.96,-2.69,0.0
2009,-5.12,-1.25,-12.85,-4.46,0.0
2008,-3.84,-1.75,-15.03,-5.66,0.0
2007,-2.05,-0.51,-3.87,-1.56,0.0
2006,-1.53,-0.54,-4.44,-1.86,0.0
2005,-0.98,0.02,1.21,0.49,0.0
2004,-1.04,0.23,2.33,0.93,0.0
2003,-1.27,-0.77,-6.73,-2.58,0.0
2002,-0.49,-0.48,-4.31,-1.59,0.0
2001,-0.048,-0.05,-0.42,-0.17,0.0
2000,0.004,0.02,0.13,0.06,0.0
1999,-1.37,-1.33,-11.53,-4.79,0.0
1998,-8.33,-8.94,-53.19,-25.99,0.0
1997,1.37,0.89,4.68,2.58,0.5
1996,1.02,0.47,3.58,2.14,0.0
1995,1.14,0.86,6.76,4.4,0.6
1994,0.87,0.57,4.68,3.16,0.0
