年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,14.27,1.88,6.65,1.69,2.0
2019,14.87,2.45,8.83,2.67,2.5
2018,15.71,4.48,14.1,4.73,2.0
2017,14.41,3.15,10.1,3.46,2.5
2016,12.78,0.57,1.9,0.65,1.0
2015,13.04,-0.55,-1.65,-0.61,0.0
2014,15.22,5.35,14.55,6.0,1.5
2013,12.01,-0.18,-0.54,-0.32,0.0
2012,12.12,-0.22,-2.0,-1.94,0.0
2011,12.85,3.17,24.03,23.38,0.0
2010,3.42,0.82,7.23,7.09,0.17
2009,0.83,-0.1,-0.96,-0.94,0.0
2008,1.16,-0.28,-2.52,-2.48,0.0
2007,2.06,-0.18,-1.62,-1.57,0.0
2006,2.65,0.32,2.58,2.5,0.0
2005,1.7,-0.09,-0.8,-0.79,0.0
