年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,14.32,-1.85,-9.13,-4.79,0.5
2019,17.8,-0.72,-3.28,-1.81,0.0
2018,21.36,1.35,5.9,3.07,1.2
2017,21.52,1.13,4.81,2.31,1.2
2016,25.47,4.69,22.49,10.04,3.0
2015,17.55,-0.13,-0.68,-0.31,1.3
2014,11.86,1.68,8.85,4.71,0.3
2013,14.13,0.19,1.07,0.71,2.31
2012,17.23,3.14,19.06,13.78,1.0
2011,2.72,0.67,4.58,3.15,0.0
2010,2.23,0.63,4.4,2.96,0.5
2009,-19.21,0.1,1.05,0.69,0.0
2008,-19.73,-0.45,-4.59,-2.97,0.0
2007,-17.39,0.07,0.67,0.42,0.0
2006,-17.69,0.15,1.26,0.72,0.0
2005,-18.4,-0.45,-2.2,-1.23,0.0
2004,-16.31,-0.15,-1.47,-0.83,0.0
2003,-15.66,-0.74,-7.15,-3.74,0.0
2002,-12.2,-0.72,-6.68,-3.28,0.0
2001,-8.88,-1.39,-13.77,-6.96,0.0
2000,-26.81,-2.09,-18.33,-9.87,0.0
1999,-15.25,-1.64,-12.5,-7.27,0.0
1998,-5.97,-1.68,-13.09,-7.45,0.0
1997,11.65,2.8,15.65,8.37,0.0
1996,2.89,0.68,4.42,2.5,0.0
1995,0.74,-1.25,-8.44,-4.8,0.0
1994,4.45,1.0,6.81,3.76,0.0
