年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,188.0,4.52,14.81,12.74,0.1
2019,147.0,2.27,8.23,7.09,0.0
2018,126.1,3.26,12.83,10.89,0.0
2017,105.4,3.64,15.55,13.01,1.0
2016,81.92,2.65,12.97,10.71,1.0
2015,65.78,1.62,8.98,6.95,0.8
2014,54.12,0.31,2.72,1.99,0.3
2013,61.19,2.15,12.58,8.85,1.0
2012,51.05,1.97,12.37,8.46,1.0
2011,23.86,1.23,8.53,5.94,0.7
2010,22.0,2.31,15.88,10.13,1.0
2009,4.14,3.31,24.83,11.82,0.2
2008,-21.03,-3.28,-21.99,-8.84,0.0
2007,13.08,1.82,12.16,5.35,0.0
2006,7.63,1.4,10.71,4.76,0.0
2005,-8.05,0.4,4.45,1.67,0.0
2004,-10.6,1.56,20.45,5.98,0.0
2003,-20.4,-1.92,-20.45,-5.93,0.0
2002,-8.45,-0.08,-0.57,-0.17,0.0
2001,-20.25,-3.1,-27.89,-7.51,0.0
2000,6.83,1.31,11.33,3.02,0.0
1999,2.61,0.48,4.75,1.58,0.0
1998,-0.36,-2.51,-21.17,-11.43,0.0
1997,17.13,-0.12,-0.71,-0.5,0.0
1996,19.82,0.64,4.78,3.89,0.0
1995,24.55,2.53,17.57,15.18,0.0
1994,16.1,1.29,9.87,8.64,0.3
