季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,-0.23,0.04,0.24,0.18
2020Q4,-0.24,2.13,14.78,6.05
2020Q3,-0.69,-0.76,-8.34,-1.83
2020Q2,-5.93,-0.19,-12.64,-2.14
2020Q1,-5.79,-1.2,-16.43,-3.18
2019Q4,-5.59,-1.26,-48.93,-12.86
2019Q3,-4.62,-0.94,-25.09,-8.61
2019Q2,-3.95,-0.74,-15.86,-6.36
2019Q1,-3.44,-0.46,-8.87,-3.88
2018Q4,-3.11,-0.92,-15.67,-7.13
2018Q3,-2.53,-0.58,-8.82,-4.23
2018Q2,-2.12,-0.67,-9.27,-4.71
2018Q1,-1.65,-0.39,-5.05,-2.72
2017Q4,-1.37,-0.73,-8.72,-4.99
2017Q3,-0.76,-0.16,-1.78,-1.06
2017Q2,-4.66,-0.22,-2.44,-1.49
2017Q1,-4.5,-0.73,-7.62,-4.84
2016Q4,-3.99,0.12,1.87,1.23
2016Q3,-4.08,-0.33,-5.14,-3.44
2016Q2,-3.71,-0.44,-6.42,-4.37
2016Q1,-3.22,-0.48,-6.5,-4.54
2015Q4,-2.68,-0.18,-2.3,-1.59
2015Q3,-2.52,-1.58,-18.39,-12.8
2015Q2,-0.77,-0.44,-4.6,-3.18
2015Q1,-0.28,-0.4,-4.0,-2.71
2014Q4,0.17,0.81,8.19,5.46
2014Q3,-4.32,-0.41,-5.59,-3.73
2014Q2,-3.71,-0.72,-6.89,-4.73
