年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,25.04,1.81,11.08,7.4,1.1
2019,23.18,1.92,11.86,7.78,1.0
2018,21.14,1.82,12.26,7.73,1.0
2017,20.08,1.86,13.71,8.39,1.3
2016,18.16,1.78,12.06,7.44,1.0
2015,16.52,1.12,8.91,5.52,1.0
2014,16.61,1.12,7.19,4.48,1.0
2013,16.46,1.11,7.65,4.66,1.0
2012,14.37,0.47,3.45,2.03,0.3
2011,4.79,0.17,0.23,0.14,0.5
2010,5.58,0.49,4.56,2.93,0.5
2009,7.81,2.07,13.09,7.61,0.58
2008,5.4,3.24,15.77,7.82,0.5
2007,-1.11,0.12,0.17,0.08,0.0
2006,-0.62,-0.67,-3.8,-1.93,0.0
2005,0.57,-0.37,-3.05,-1.55,0.0
2004,3.31,1.0,6.79,2.86,0.0
2003,2.21,0.64,5.72,1.85,0.0
2002,0.89,0.28,2.67,0.8,0.0
2001,-1.75,-1.16,-10.98,-3.27,0.0
2000,-3.96,-2.2,-18.07,-6.12,0.0
1999,0.48,-0.07,-0.49,-0.18,0.0
1998,-0.5,-2.22,-14.99,-6.23,0.0
1997,4.69,0.35,2.05,0.98,0.0
1996,4.17,0.54,3.06,1.46,0.0
1995,3.29,-1.09,-6.15,-3.06,0.0
1994,6.47,1.42,7.67,4.06,0.5
