年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,4.66,-0.48,-4.06,-2.32,0.0
2019,8.79,-0.29,-2.38,-1.33,0.0
2018,13.32,0.19,1.74,0.95,0.2
2017,11.78,-0.21,-1.76,-0.87,0.0
2016,13.71,-0.1,-0.59,-0.28,0.0
2015,14.83,0.02,0.43,0.24,0.0
2014,19.29,0.42,3.24,1.98,0.0
2013,23.77,1.34,10.75,6.38,0.0
2012,13.92,0.04,0.27,0.15,0.0
2011,11.46,-0.34,-1.71,-0.96,0.0
2010,17.05,1.69,12.59,7.01,0.5
2009,6.91,1.62,15.41,7.49,0.0
2008,-2.76,-3.01,-27.49,-13.76,0.0
2007,15.42,0.38,2.92,1.56,0.0
2006,13.14,0.92,7.29,3.91,0.0
2005,8.05,0.09,0.75,0.4,0.0
