季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,12.87,4.48,5.94,4.47
2020Q4,15.41,4.36,5.94,4.82
2020Q3,13.92,4.83,6.89,5.5
2020Q2,12.29,3.56,4.7,3.77
2020Q1,14.8,3.26,4.13,3.45
2019Q4,13.7,3.69,5.35,4.44
2019Q3,12.46,3.46,5.28,4.2
2019Q2,11.29,3.67,5.31,4.24
2019Q1,13.76,3.2,4.61,3.89
2018Q4,12.68,3.27,5.04,4.27
2018Q3,11.58,3.67,5.84,4.71
2018Q2,10.34,3.47,5.14,4.15
2018Q1,12.71,2.85,4.37,3.69
2017Q4,11.74,3.38,5.37,4.52
2017Q3,10.58,3.43,5.47,4.39
2017Q2,9.43,3.29,5.03,4.01
2017Q1,11.38,3.31,5.26,4.37
2016Q4,10.27,4.16,6.28,5.23
2016Q3,9.16,3.54,5.71,4.52
2016Q2,8.07,3.45,5.15,4.04
2016Q1,10.38,3.39,5.2,4.17
2015Q4,9.34,3.67,5.35,4.13
2015Q3,8.25,3.14,4.7,3.62
2015Q2,7.28,3.09,5.13,3.89
2015Q1,9.41,3.53,6.65,4.82
2014Q4,8.42,4.0,8.27,5.98
2014Q3,7.3,2.38,5.6,3.98
2014Q2,6.63,2.38,4.97,3.51
