年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,15.27,1.0,5.55,5.01,0.3
2019,12.8,0.28,1.69,1.53,0.3
2018,12.26,-0.04,-0.26,-0.24,0.3
2017,12.38,0.35,2.07,1.93,0.3
2016,11.58,0.22,1.35,1.25,0.3
2015,11.96,0.45,2.67,2.49,0.35
2014,11.46,-0.06,-0.33,-0.3,0.2
2013,11.6,-0.27,-1.45,-1.3,0.0
2012,13.49,1.19,6.07,5.42,0.5
2011,12.27,0.75,3.03,2.75,0.5
2010,11.86,2.39,7.22,6.55,0.3
2009,6.26,1.66,6.81,5.71,0.0
2008,2.84,-0.51,-3.61,-2.35,0.0
2007,4.02,0.08,0.64,0.39,0.0
2006,3.85,0.63,4.77,2.88,0.0
2005,3.53,0.26,1.8,1.04,0.0
2000,1.0,0.45,2.55,1.54,0.3
1999,2.17,2.35,9.41,6.62,0.0
