季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,4.36,0.31,2.45,0.99
2020Q4,3.95,0.32,2.77,1.18
2020Q3,3.53,0.38,3.36,1.54
2020Q2,3.03,0.1,1.03,0.49
2020Q1,3.97,0.23,2.01,0.96
2019Q4,3.66,-0.05,-0.28,-0.14
2019Q3,3.74,0.23,1.95,0.92
2019Q2,3.42,0.43,3.27,1.59
2019Q1,4.21,0.45,3.3,1.65
2018Q4,3.58,0.27,2.28,1.1
2018Q3,3.21,0.25,2.21,1.03
2018Q2,2.88,0.45,3.82,1.78
2018Q1,3.08,0.44,3.88,1.77
2017Q4,2.38,0.19,1.65,0.72
2017Q3,2.18,0.25,2.41,1.06
2017Q2,1.84,0.25,2.35,1.08
2017Q1,2.13,0.23,2.19,1.04
2016Q4,1.84,0.18,1.49,0.71
2016Q3,1.66,0.36,3.11,1.49
2016Q2,1.23,0.36,3.24,1.52
2016Q1,0.6,0.1,0.91,0.42
2015Q4,0.47,-0.46,-4.71,-2.11
2015Q3,1.09,0.09,0.41,0.18
2015Q2,0.99,-0.01,-0.14,-0.06
2015Q1,0.8,0.12,0.66,0.29
2014Q4,0.66,-0.18,-2.03,-0.89
2014Q3,0.86,-0.07,-0.74,-0.33
2014Q2,0.94,0.04,0.2,0.09
