年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,21.32,3.74,17.76,8.42,1.6
2019,18.13,3.0,14.8,7.25,1.6
2018,16.71,3.26,16.5,8.03,1.8
2017,14.2,2.54,13.24,6.33,1.4
2016,13.81,3.07,16.2,7.36,1.75
2015,11.95,2.41,13.22,5.68,1.32
2014,9.89,1.5,8.65,3.83,0.9
2013,10.73,2.59,13.96,6.6,1.0
2012,9.82,3.03,16.34,7.71,1.2
2011,9.37,3.02,17.16,8.79,1.2
2010,7.4,2.65,16.35,9.41,1.1
2009,5.15,1.03,6.67,3.84,0.7
2008,4.78,0.85,5.41,3.28,0.7
2007,4.52,0.7,4.42,2.73,0.6
2006,4.3,0.42,2.43,1.42,0.5
2005,4.42,0.45,2.5,1.37,0.5
2004,4.48,0.44,2.92,1.5,0.5
2003,4.58,0.74,4.98,2.45,0.5
1999,4.76,2.01,13.89,8.77,0.5
1998,4.11,1.37,10.35,6.73,0.5
