年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,32.8,13.76,17.16,11.73,9.5
2019,29.83,11.16,14.26,10.38,8.8
2018,29.75,15.26,20.29,13.89,11.0
2017,25.73,8.68,11.95,8.29,8.5
2016,26.07,14.06,19.17,14.16,9.5
2015,23.32,14.19,20.55,15.28,9.5
2014,20.29,13.7,21.39,15.43,9.0
2013,17.26,13.05,22.74,15.73,9.0
2012,14.27,11.7,25.64,16.52,7.5
2011,13.55,12.64,30.65,19.45,8.0
2010,12.14,12.47,32.13,21.93,7.7
2009,9.57,11.28,35.21,23.07,7.0
2008,5.58,3.39,13.36,8.02,2.2
2007,5.42,4.64,17.3,10.05,2.8
2006,5.35,6.2,26.17,13.82,4.2
2005,4.0,3.04,14.15,7.22,2.2
2004,4.25,7.25,37.18,19.53,3.5
2003,3.38,5.39,25.22,13.43,3.0
2002,2.9,5.59,23.74,11.87,2.0
