季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,10.32,0.76,2.66,1.63
2020Q4,11.11,0.55,1.94,1.21
2020Q3,10.52,0.61,2.23,1.41
2020Q2,9.87,0.52,1.94,1.26
2020Q1,10.39,0.4,1.51,1.0
2019Q4,9.96,0.31,1.14,0.75
2019Q3,9.68,0.4,1.5,1.0
2019Q2,9.25,0.3,1.13,0.77
2019Q1,10.11,0.29,1.12,0.76
2018Q4,9.8,0.33,1.3,0.87
2018Q3,9.42,0.61,2.45,1.61
2018Q2,8.76,0.51,2.02,1.34
2018Q1,9.29,0.04,0.18,0.12
2017Q4,9.24,0.18,0.72,0.47
2017Q3,9.04,0.42,1.74,1.12
2017Q2,8.58,0.49,2.05,1.31
2017Q1,8.75,0.21,0.86,0.53
2016Q4,8.53,0.48,1.98,1.19
2016Q3,8.04,0.22,0.93,0.58
2016Q2,7.8,0.02,0.08,0.05
2016Q1,8.52,0.18,0.72,0.47
2015Q4,8.33,0.28,1.13,0.72
2015Q3,8.09,0.44,1.8,1.15
2015Q2,7.63,0.07,0.28,0.18
2015Q1,8.41,0.18,0.7,0.46
2014Q4,8.22,0.26,1.04,0.66
2014Q3,7.94,0.53,2.22,1.4
2014Q2,7.37,0.16,0.69,0.45
