年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,25.05,1.36,6.71,5.51,0.95
2019,23.78,0.95,4.78,3.88,0.83
2018,23.78,0.78,3.92,3.13,0.91
2017,22.97,0.82,4.14,3.27,0.7
2016,23.72,1.22,6.07,4.72,1.05
2015,22.74,0.99,5.06,3.83,0.81
2014,22.35,0.87,4.41,3.34,0.76
2013,22.16,0.84,4.61,3.56,0.9
2012,22.46,0.97,5.38,4.14,0.86
2011,22.05,1.38,7.65,5.75,1.19
2010,20.76,1.06,5.9,4.5,0.92
2009,21.19,0.77,4.5,3.57,1.16
2008,19.85,0.93,5.36,4.27,0.32
2007,20.73,1.36,7.53,5.89,1.12
2006,20.53,1.43,8.2,6.14,1.18
2005,21.76,1.83,10.55,7.51,1.5
2004,20.95,1.74,10.2,7.18,1.43
2003,20.04,2.03,9.81,6.92,1.31
2002,18.11,1.18,7.29,4.99,0.9
2001,13.23,0.72,4.7,3.41,0.6
2000,13.29,0.86,5.53,4.4,0.5
