年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,0.6,-0.31,-2.51,-1.9,0.2
2019,1.25,0.28,2.28,1.71,0.26
2018,1.07,0.15,1.28,0.94,0.2
2017,1.13,0.14,1.16,0.86,0.2
2016,1.41,0.4,3.19,2.45,0.3
2015,1.76,0.79,6.33,4.83,0.5
2014,1.44,0.52,4.18,3.24,0.4
2013,1.26,0.28,2.28,1.79,0.25
2012,1.18,-0.14,-1.08,-0.85,0.2
2011,1.75,1.26,10.3,7.57,0.5
2010,0.095,0.08,0.62,0.43,0.0
2009,-0.038,-0.07,-0.58,-0.41,0.0
2008,0.32,0.14,1.21,0.85,0.2
2007,0.14,0.11,0.89,0.61,0.0
2006,-0.35,-0.35,-3.01,-2.11,0.0
2005,0.12,-0.25,-2.28,-1.66,0.0
