季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,78.37,0.24,0.26,0.24
2020Q4,83.5,0.26,0.36,0.33
2020Q3,88.59,0.83,1.21,1.08
2020Q2,87.09,27.38,50.98,44.49
2020Q1,42.06,0.05,0.11,0.09
2019Q4,41.97,-0.29,-0.67,-0.56
2019Q3,42.77,1.4,3.3,2.71
2019Q2,40.1,2.52,5.98,4.77
2019Q1,37.67,0.02,0.06,0.05
2018Q4,37.63,-0.27,-0.64,-0.5
2018Q3,38.14,1.56,3.69,2.88
2018Q2,35.17,-0.05,-0.1,-0.08
2018Q1,37.43,-0.04,-0.12,-0.09
2017Q4,37.06,-0.12,-0.34,-0.26
2017Q3,37.26,0.99,2.59,1.95
2017Q2,35.36,0.03,0.08,0.06
2017Q1,37.48,0.0,-0.02,-0.01
2016Q4,37.48,0.47,1.25,0.93
2016Q3,36.9,0.9,2.51,1.84
2016Q2,35.18,0.06,0.16,0.12
2016Q1,37.25,0.16,0.43,0.33
2015Q4,36.94,0.21,0.58,0.44
2015Q3,36.27,0.96,2.59,1.95
2015Q2,34.44,0.14,0.32,0.24
2015Q1,36.36,0.03,0.04,0.03
2014Q4,36.3,0.35,0.94,0.72
2014Q3,35.6,0.72,1.97,1.51
2014Q2,34.16,0.09,0.23,0.18
