年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,2126.0,3.24,7.55,4.72,2.4
2019,2041.0,2.91,6.25,4.13,2.2
2018,2208.0,6.65,13.97,9.45,5.0
2017,2085.0,6.87,15.03,9.98,5.1
2016,1913.0,6.16,14.14,9.27,4.5
2015,1697.0,4.5,10.75,6.89,3.3
2014,1537.0,4.0,10.43,6.2,2.3
2013,1381.0,3.19,9.13,5.1,1.9
2012,1160.0,0.55,1.37,0.78,0.3
2011,1220.0,2.95,8.46,5.2,2.1
2010,1358.0,5.22,14.93,9.44,4.7
2009,1097.0,2.09,6.74,4.1,1.9
2008,1017.0,1.23,4.28,2.64,0.8
2007,1436.0,7.75,21.91,13.62,6.7
2006,1229.0,6.23,21.83,12.51,5.0
2005,1029.0,5.4,21.47,11.44,3.7
2004,882.9,6.23,26.44,13.82,3.6
2003,567.4,2.61,11.86,6.02,1.8
2002,481.6,2.22,9.69,4.58,1.2
2001,401.4,1.35,5.46,2.49,0.7
2000,423.4,4.02,15.82,7.22,1.1
1999,290.3,2.64,11.82,4.92,1.0
1998,232.4,3.01,14.79,5.45,0.6
1997,201.0,2.24,10.19,3.85,0.0
1996,193.8,2.86,15.55,6.49,1.1
1995,173.1,3.29,18.76,8.37,1.15
1994,144.4,2.86,18.06,8.25,1.15
