年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,31.05,4.39,10.99,5.41,3.0
2019,28.25,2.43,5.48,2.38,3.0
2018,28.74,5.41,13.25,5.22,3.0
2017,25.57,3.44,8.53,3.54,2.5
2016,22.91,2.24,6.03,2.6,1.0
2015,21.88,6.21,15.06,6.17,0.5
2014,19.19,6.88,18.46,7.89,3.5
2013,15.51,4.05,12.7,5.76,2.7
2012,14.27,4.21,13.97,6.23,2.03
2011,10.86,5.04,17.91,7.72,2.5
2010,8.29,2.28,11.26,5.41,1.0
2009,6.65,0.35,1.95,1.02,0.5
2008,7.19,1.75,12.6,6.42,0.5
2007,9.9,6.6,31.04,15.39,4.12
2006,7.54,5.74,32.58,15.47,2.5
