年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,74.4,5.13,9.67,8.28,3.5
2019,71.27,4.21,8.11,6.89,3.2
2018,70.03,4.61,8.93,7.49,3.5
2017,67.84,4.88,9.54,8.0,3.5
2016,66.44,6.52,13.01,10.9,4.0
2015,61.61,5.8,12.01,10.0,3.8
2014,58.53,6.39,13.78,11.39,3.8
2013,55.31,6.33,14.45,11.88,4.2
2012,50.64,5.43,13.26,10.72,3.5
2011,44.13,4.31,11.19,8.92,2.5
2010,41.2,3.46,9.38,7.51,2.5
2009,39.65,4.65,13.09,10.32,2.5
2008,35.04,2.8,8.44,6.51,1.8
2007,33.97,3.9,12.09,9.35,2.0
2006,31.82,4.49,14.78,11.27,2.5
2005,28.25,4.14,14.7,10.8,2.2
2004,25.71,3.87,14.69,10.79,2.5
2003,22.79,3.3,13.24,9.83,2.0
2002,21.09,3.17,13.02,9.77,2.0
2001,19.33,3.39,14.71,11.31,2.0
2000,17.23,2.58,11.55,8.88,2.0
