年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,4.39,0.63,3.68,2.33,0.8
2019,5.3,1.73,9.73,6.73,1.6
2018,5.4,1.93,11.24,8.24,1.9
2017,5.6,1.94,11.99,8.63,2.25
2016,5.22,1.87,11.8,8.54,1.6
2015,5.39,2.31,14.4,10.54,2.0
2014,5.15,2.54,15.84,11.53,2.1
2013,4.72,2.55,15.62,11.47,2.3
2012,4.65,2.59,15.71,11.96,2.3
2011,4.44,2.59,16.28,12.78,2.3
2010,3.9,2.32,15.64,12.65,2.0
2009,3.53,1.94,13.82,10.7,1.9
2008,3.05,1.66,12.23,8.77,1.4
2007,2.9,1.49,11.36,7.72,1.4
2006,2.69,1.7,12.83,8.42,1.2
2005,2.63,1.64,12.52,8.29,1.5
