年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,8.85,1.37,7.13,4.57,0.96
2019,7.84,1.07,5.88,3.58,0.81
2018,7.41,1.2,7.25,3.96,0.84
2017,6.58,1.19,7.76,3.93,0.83
2016,5.88,1.15,8.17,4.24,0.8
2015,5.28,1.11,8.13,4.32,0.78
2014,4.41,0.94,7.05,3.51,0.62
2013,3.33,0.68,5.78,2.65,0.35
2012,2.11,-0.91,-8.69,-3.65,0.0
2011,3.78,0.72,6.12,2.56,0.0
2010,4.86,1.54,11.39,4.66,0.15
2009,5.13,1.08,9.04,3.38,0.25
2008,3.66,1.67,15.08,5.31,0.0
2007,3.54,2.03,14.11,5.18,0.18
2006,3.32,2.35,16.69,6.14,0.31
2005,2.61,2.13,16.39,5.51,0.23
