季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,6.41,0.44,2.46,1.73
2020Q4,5.91,0.24,1.35,0.97
2020Q3,5.65,0.24,1.43,0.96
2020Q2,5.15,0.2,1.17,0.74
2020Q1,5.26,0.1,0.56,0.36
2019Q4,5.15,-0.44,-2.43,-1.48
2019Q3,5.57,-0.55,-3.15,-1.69
2019Q2,6.06,-0.07,-0.37,-0.19
2019Q1,6.56,0.25,1.4,0.72
2018Q4,6.34,-0.1,-0.56,-0.28
2018Q3,6.43,0.16,0.87,0.45
2018Q2,6.29,0.55,3.05,1.6
2018Q1,6.24,0.68,3.85,1.96
2017Q4,5.64,0.45,2.63,1.29
2017Q3,5.25,0.63,3.84,1.89
2017Q2,4.7,0.61,3.95,1.9
2017Q1,4.25,0.35,2.29,1.05
2016Q4,3.94,0.21,1.41,0.6
2016Q3,3.75,0.32,2.1,0.83
2016Q2,3.47,0.05,0.37,0.14
2016Q1,3.43,-0.25,-1.64,-0.63
2015Q4,3.65,-0.47,-2.94,-1.12
2015Q3,4.06,-0.95,-5.77,-2.12
2015Q2,4.9,0.18,1.05,0.36
2015Q1,4.74,-0.45,-2.63,-0.88
2014Q4,5.14,-1.49,-8.4,-3.07
2014Q3,6.45,0.14,0.77,0.31
2014Q2,6.33,0.02,0.08,0.03
