年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,40.64,2.95,18.84,13.66,1.8
2019,29.37,1.22,7.97,5.46,0.5
2018,32.56,2.52,15.94,10.47,1.5
2017,28.57,2.58,16.79,10.31,1.5
2016,25.49,3.02,21.22,12.02,1.7
2015,17.3,1.64,12.63,6.84,1.0
2014,10.64,0.25,1.98,1.07,0.2
2013,15.09,1.67,13.6,7.19,0.8
2012,12.1,1.97,17.89,8.51,0.4
2011,-0.21,-0.22,-2.32,-1.05,0.0
2010,0.72,0.01,0.11,0.05,0.0
2009,1.94,1.21,11.33,5.22,0.3
2008,-3.19,-0.78,-8.23,-3.57,0.0
2007,0.9,0.11,0.81,0.34,0.0
2006,0.64,0.15,1.06,0.45,0.0
2005,-3.79,-1.31,-12.12,-4.98,0.0
2004,6.24,2.0,19.82,7.65,0.0
2003,-2.24,0.01,0.1,0.04,0.0
2002,-2.28,-0.52,-5.38,-1.98,0.0
2001,-10.0,-2.35,-21.5,-8.41,0.0
2000,-0.35,-1.4,-10.95,-4.64,0.0
1999,6.76,0.5,3.82,1.66,0.0
1998,4.69,-0.42,-3.05,-1.23,0.0
1997,6.15,-0.75,-5.88,-2.36,0.0
1996,10.4,1.53,11.07,4.65,0.0
1995,7.0,0.16,1.18,0.49,0.45
1994,9.06,1.06,7.6,3.23,0.8
