年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,6.95,0.65,2.35,1.57,1.5
2019,6.01,0.49,1.22,0.85,0.55
2018,5.98,1.25,2.29,1.69,0.0
2017,7.69,5.23,8.86,6.15,0.0
2016,4.62,3.81,10.67,6.41,0.0
2015,2.34,0.8,3.48,1.81,0.0
2014,2.3,0.97,4.82,2.49,0.0
2013,1.83,-0.84,-4.97,-2.65,0.0
2012,2.29,0.25,1.24,0.69,0.0
2011,1.01,0.35,1.65,1.01,0.0
2010,0.98,0.29,1.6,1.12,0.0
2009,0.99,0.33,2.1,1.47,0.0
2008,0.98,0.28,1.91,1.3,0.0
2007,1.53,1.75,10.76,7.39,0.0
2006,0.99,0.36,2.3,1.56,0.0
2005,1.21,0.65,3.68,2.48,0.5
