年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,27.17,5.58,36.03,22.26,2.0
2019,9.98,1.19,9.6,4.76,0.3
2018,7.31,0.63,5.27,2.37,0.2
2017,5.06,1.53,13.78,5.81,0.0
2016,0.18,0.37,3.58,1.37,0.0
2015,-0.69,0.21,1.97,0.67,0.0
2014,-1.15,-1.93,-16.69,-5.4,0.0
2013,5.23,0.05,0.43,0.16,0.0
2012,5.24,-0.11,-0.92,-0.38,0.0
2011,4.81,0.87,6.68,2.82,0.2
2010,6.83,1.89,14.55,5.78,0.5
2009,1.57,1.93,17.87,6.15,0.0
2008,-7.12,-5.53,-43.3,-16.75,0.0
2007,9.66,0.78,5.0,2.08,0.2
2006,7.54,0.4,2.69,1.12,0.0
2005,6.46,0.23,1.66,0.73,0.0
2004,6.89,0.71,4.81,2.33,0.2
2003,5.13,-0.29,-2.12,-1.22,0.0
2002,5.9,0.09,0.65,0.42,0.0
2001,5.62,-0.57,-3.96,-2.88,0.0
2000,7.11,0.13,0.92,0.69,0.0
