季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,23.16,0.53,2.22,1.02
2020Q4,21.94,0.81,3.53,1.66
2020Q3,20.09,0.5,2.12,1.02
2020Q2,18.95,0.35,1.62,0.79
2020Q1,20.44,0.35,1.54,0.76
2019Q4,19.64,0.32,1.24,0.58
2019Q3,19.13,2.21,9.57,4.21
2019Q2,15.46,0.29,1.36,0.6
2019Q1,15.64,0.42,1.92,1.01
2018Q4,14.93,0.13,0.6,0.38
2018Q3,14.74,0.51,2.37,1.48
2018Q2,13.87,0.25,1.32,0.84
2018Q1,13.78,0.41,1.98,1.27
2017Q4,13.11,0.35,1.77,1.11
2017Q3,12.58,0.68,3.21,1.99
2017Q2,11.41,0.24,1.35,0.82
2017Q1,11.0,0.31,1.59,0.95
2016Q4,10.48,0.22,1.18,0.7
2016Q3,10.08,0.38,1.89,1.09
2016Q2,9.44,0.28,1.54,0.86
2016Q1,8.96,0.21,1.19,0.65
2015Q4,8.59,0.13,0.74,0.4
2015Q3,8.37,0.36,1.88,1.0
2015Q2,7.76,0.25,1.45,0.77
2015Q1,7.33,0.22,1.29,0.68
2014Q4,6.95,0.22,1.35,0.71
2014Q3,6.55,0.36,2.12,1.12
2014Q2,5.94,0.45,2.66,1.4
