年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,14.55,0.86,-0.18,-0.08,0.0
2019,14.93,2.05,4.51,2.19,0.5
2018,14.37,2.71,8.48,4.43,0.8
2017,10.93,1.15,5.03,2.68,0.3
2016,10.44,0.85,3.7,1.97,0.2
2015,10.09,1.72,7.16,3.72,0.1
2014,9.03,2.41,10.67,5.45,0.5
2013,8.2,2.11,10.46,5.24,1.5
2012,6.52,0.77,3.94,1.97,0.3
2011,6.09,1.28,6.94,3.53,0.4
2010,4.86,0.02,0.13,0.07,0.0
2009,5.32,0.14,0.74,0.39,0.5
2008,5.18,-0.44,-2.24,-1.19,0.0
2007,6.67,2.21,11.26,5.78,1.0
2006,5.83,3.02,17.09,8.38,1.2
2005,3.42,0.24,1.44,0.67,0.5
2004,3.77,0.23,1.34,0.61,0.6
2003,5.07,1.95,10.48,5.56,1.0
2002,5.72,3.8,20.53,11.93,2.0
2001,4.86,4.02,20.96,11.72,1.8
