年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,44.57,4.86,24.67,14.68,2.5
2019,32.41,2.0,11.69,6.27,1.5
2018,31.03,1.52,10.37,5.63,1.4
2017,25.21,0.67,4.7,2.75,0.2
2016,29.07,1.65,10.88,6.69,1.4
2015,27.66,1.0,6.69,4.26,1.04
2014,28.45,1.25,8.23,5.29,1.0
2013,26.29,0.8,6.41,3.73,0.71
2012,25.62,0.88,6.61,3.62,0.6
2011,2.12,0.35,2.68,1.52,0.3
2010,0.59,0.25,1.81,1.08,0.08
2009,-27.85,-0.11,-1.26,-0.74,0.0
2008,-26.9,4.4,61.03,24.02,0.0
2007,-63.83,-2.55,-41.16,-11.45,0.0
2006,-42.23,-4.92,-55.27,-19.34,0.0
2005,-50.45,-4.38,-54.88,-25.09,0.0
2004,4.1,-0.79,-6.67,-3.65,0.0
2003,25.11,1.14,8.11,4.23,0.5
2002,14.75,1.09,8.76,4.7,0.0
2001,19.35,0.71,6.02,3.64,0.2
2000,25.18,2.01,15.18,8.93,0.45
