季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,3.33,0.02,0.09,0.05
2020Q4,3.31,0.38,1.75,0.94
2020Q3,3.01,0.53,1.69,0.89
2020Q2,2.73,-0.02,-0.11,-0.06
2020Q1,2.83,-0.33,-1.52,-0.83
2019Q4,3.08,0.2,0.91,0.53
2019Q3,2.91,0.29,1.23,0.7
2019Q2,2.7,0.06,0.25,0.14
2019Q1,2.66,-0.35,-1.54,-0.84
2018Q4,2.93,0.29,1.3,0.71
2018Q3,2.7,-0.09,-0.41,-0.22
2018Q2,2.77,-0.47,-2.04,-1.14
2018Q1,3.24,-0.47,-2.0,-1.22
2017Q4,3.6,0.67,2.94,1.83
2017Q3,3.08,0.65,2.88,1.67
2017Q2,2.57,-0.49,-2.07,-1.27
2017Q1,4.68,-0.64,-2.51,-1.67
2016Q4,5.17,1.15,4.53,2.97
2016Q3,4.3,0.36,1.45,0.87
2016Q2,4.02,0.88,3.2,2.02
2016Q1,7.58,0.57,2.27,1.44
2015Q4,7.14,1.29,6.05,3.14
2015Q3,6.27,2.77,15.07,6.75
2015Q2,4.38,1.24,6.46,3.14
2015Q1,7.99,2.23,10.91,5.89
2014Q4,6.47,2.06,10.08,5.02
2014Q3,5.21,2.95,18.24,8.27
2014Q2,3.2,1.49,9.21,3.95
