年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,129.5,15.51,22.82,17.1,11.0
2019,117.0,15.67,24.53,18.91,11.0
2018,104.2,15.96,27.37,20.75,11.0
2017,86.63,11.12,20.23,15.27,9.5
2016,84.82,13.67,27.24,19.47,10.5
2015,76.63,15.99,39.28,25.6,10.5
2014,55.83,11.51,34.15,21.87,8.0
2013,44.4,10.91,37.3,24.2,7.0
2012,29.86,7.75,32.51,20.61,5.0
2011,20.78,5.6,29.15,17.57,3.0
2010,14.14,3.83,22.85,13.52,2.0
2009,9.02,1.95,12.89,7.31,1.0
2008,6.39,1.02,6.45,3.57,0.4
2007,6.86,2.01,12.21,6.72,1.0
2006,6.24,2.33,15.55,8.2,0.8
2005,5.35,2.6,13.15,6.81,0.8
