年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,24.18,1.22,4.09,2.75,1.0
2019,23.4,1.29,4.42,3.01,1.0
2018,22.06,0.94,3.16,2.14,0.85
2017,30.33,4.15,14.4,9.44,3.73
2016,19.25,0.52,1.99,1.27,0.46
2015,18.77,0.39,1.53,0.98,0.35
2014,18.56,0.35,1.43,0.94,0.31
2013,18.88,0.55,2.36,1.59,0.45
2012,18.72,0.59,2.96,1.91,0.5
2011,8.35,0.83,4.17,2.72,0.6
2010,7.97,0.77,3.81,2.53,0.7
2009,6.42,0.34,2.12,1.33,0.25
2008,5.39,0.03,0.17,0.11,0.0
2007,6.09,0.17,1.06,0.73,0.25
2006,6.68,0.3,1.89,1.26,0.25
2005,12.45,0.63,4.37,2.56,0.25
2004,10.7,0.35,2.73,1.34,0.0
2003,9.73,0.41,3.3,1.55,0.0
1996,-5.97,-0.5,-4.84,-2.46,0.0
1995,-4.5,-0.94,-9.25,-4.41,0.0
