季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,34.26,3.05,10.18,7.56
2020Q4,29.37,2.67,9.81,7.2
2020Q3,25.09,2.17,8.84,5.78
2020Q2,21.63,1.58,6.3,4.0
2020Q1,27.1,1.66,6.4,4.47
2019Q4,24.44,1.46,5.97,4.23
2019Q3,22.05,1.45,6.33,4.19
2019Q2,19.73,1.32,5.51,3.77
2019Q1,25.62,1.86,7.41,5.45
2018Q4,22.64,1.77,7.58,5.35
2018Q3,19.79,1.21,5.61,3.63
2018Q2,17.85,1.46,6.35,4.34
2018Q1,23.52,1.23,5.15,3.78
2017Q4,21.48,1.32,5.78,4.15
2017Q3,19.42,1.46,6.84,4.72
2017Q2,17.08,1.26,5.56,4.02
2017Q1,23.06,1.06,4.45,3.3
2016Q4,21.36,1.61,7.1,5.15
2016Q3,18.74,1.19,5.59,3.96
2016Q2,16.84,1.69,7.53,5.43
2016Q1,22.14,1.09,4.66,3.62
2015Q4,20.4,1.37,6.19,4.78
2015Q3,18.07,1.72,8.3,5.96
2015Q2,15.33,1.1,5.1,3.7
2015Q1,21.56,1.51,6.6,5.02
2014Q4,19.14,2.51,12.01,9.09
2014Q3,15.08,0.93,4.9,3.46
2014Q2,13.59,0.92,4.56,3.27
