年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,6.0,2.43,22.05,11.59,0.5
2019,0.63,-0.03,-0.3,-0.16,0.0
2018,0.68,0.07,0.64,0.35,0.0
2017,0.86,0.32,2.88,1.62,0.2
2016,1.87,1.17,12.37,6.61,0.7
2015,-0.21,0.71,12.06,6.17,0.0
2014,-0.76,0.09,1.01,0.53,0.0
2013,-0.78,0.06,0.63,0.31,0.0
2012,-0.81,-0.04,-0.49,-0.22,0.0
2011,-1.1,-0.49,-4.8,-2.13,0.0
2010,-0.74,-0.15,-1.52,-0.67,0.0
2009,-0.63,-0.85,-8.57,-3.78,0.0
2008,-5.23,-0.6,-8.1,-3.88,0.0
2007,-4.48,0.0,-1.84,-0.88,0.0
2006,-3.77,-0.66,-10.34,-4.81,0.0
2005,-3.53,0.01,0.17,0.09,0.0
