年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,17.74,0.55,3.94,3.16,0.5
2019,22.82,1.67,11.8,8.9,1.0
2018,25.46,2.3,15.52,11.07,2.0
2017,18.44,2.0,13.02,8.67,1.6
2016,19.83,2.67,18.8,11.22,2.2
2015,11.08,1.31,9.37,5.39,1.0
2014,4.11,-0.07,-0.83,-0.49,0.0
2013,9.51,2.16,17.55,9.32,0.5
2012,-1.28,-0.93,-8.9,-4.25,0.0
2011,-14.0,-1.48,-14.7,-7.34,0.0
2010,-4.98,0.05,1.46,0.76,0.0
2009,-1.73,1.19,10.82,5.59,0.6
2008,0.15,-1.85,-12.9,-7.17,0.0
2007,13.46,0.76,5.29,2.96,0.3
2006,14.11,0.92,7.23,3.49,0.4
2005,4.48,-0.93,-7.19,-3.41,0.0
2004,14.67,1.24,9.13,4.37,0.4
2003,16.22,0.75,6.09,2.71,0.6
2002,16.33,1.61,2.35,0.95,0.2
2001,11.37,-0.66,-6.14,-2.72,0.0
2000,19.27,1.52,11.62,6.66,0.5
1999,17.48,1.71,13.2,9.02,0.5
1998,10.1,-0.32,-2.56,-1.92,0.0
1997,15.74,0.81,5.72,4.41,0.0
