年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,4.74,0.72,5.58,2.18,0.7
2019,3.07,-0.74,-6.76,-2.45,0.0
2018,2.28,-0.29,-1.75,-0.62,0.0
2017,2.89,-0.36,-2.88,-1.01,0.0
2016,3.68,0.07,-6.33,-2.37,0.0
2015,3.53,0.01,-1.89,-0.78,0.0
2014,4.53,0.57,2.33,0.95,0.5
2013,3.34,1.0,4.5,1.74,0.2
2012,2.24,1.11,9.27,3.47,0.4
2011,4.01,0.91,5.95,2.03,0.2
2010,2.52,1.01,7.31,2.53,0.0
2009,0.86,0.51,2.6,0.93,0.0
2008,0.016,-1.0,-10.11,-4.0,0.0
2007,2.7,0.52,3.93,1.82,0.6
2006,3.84,1.59,12.38,5.87,1.15
2005,3.2,0.94,8.2,4.0,1.09
2004,2.02,0.97,8.43,4.34,0.25
2003,1.97,1.48,10.92,4.99,1.0
2002,1.11,0.64,4.92,2.11,0.5
2001,0.42,0.19,1.5,0.64,0.2
2000,0.34,0.01,0.11,0.04,0.0
1999,0.9,0.84,6.92,2.79,0.0
1998,0.84,1.0,7.61,3.2,0.0
1997,0.72,1.17,9.73,3.64,0.0
