季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,19.06,-0.07,-0.24,-0.12
2020Q4,19.19,0.0,-0.01,-0.01
2020Q3,19.49,0.52,1.78,0.93
2020Q2,18.8,0.2,0.71,0.36
2020Q1,18.44,-0.33,-1.14,-0.57
2019Q4,19.03,0.41,1.41,0.72
2019Q3,18.3,-0.15,-0.48,-0.26
2019Q2,18.55,-0.21,-0.68,-0.38
2019Q1,18.93,-0.4,-1.26,-0.72
2018Q4,19.63,-0.08,-0.27,-0.16
2018Q3,19.78,-0.21,-0.66,-0.41
2018Q2,20.15,-0.56,-1.67,-1.02
2018Q1,21.75,0.07,0.2,0.12
2017Q4,21.63,0.41,1.23,0.71
2017Q3,20.91,0.38,1.16,0.68
2017Q2,20.26,0.21,0.66,0.39
2017Q1,22.14,0.6,1.9,1.11
2016Q4,21.08,0.63,1.73,1.02
2016Q3,20.09,0.87,2.66,1.66
2016Q2,18.56,0.49,1.3,0.85
2016Q1,18.93,0.8,2.02,1.31
2015Q4,17.72,0.32,0.8,0.51
2015Q3,17.23,0.49,1.3,0.82
2015Q2,16.45,0.16,0.43,0.29
2015Q1,17.47,0.5,1.28,0.88
2014Q4,16.71,-0.03,-0.08,-0.06
2014Q3,16.76,0.31,0.84,0.59
2014Q2,16.28,0.2,0.53,0.36
