年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,9.14,0.74,3.89,3.58,0.7
2019,9.75,1.33,7.04,6.42,1.2
2018,9.9,1.47,7.85,7.11,1.4
2017,9.76,1.63,8.84,8.07,1.4
2016,9.22,1.5,8.19,7.45,1.2
2015,9.61,2.8,15.98,14.54,1.8
2014,7.27,1.31,8.11,7.35,1.0
2013,6.58,1.03,6.69,6.0,0.8
2012,5.86,0.68,4.51,4.03,0.5
2007,3.66,0.55,4.0,3.58,0.5
2006,3.34,0.35,2.7,2.34,0.8
2005,2.83,-0.32,-2.83,-2.47,0.5
2001,2.55,0.46,5.17,2.72,0.0
2000,1.69,-1.04,-11.38,-5.68,0.45
1999,3.76,-0.02,-0.21,-0.11,0.3
1998,6.29,1.19,10.25,5.57,0.0
1997,7.62,2.87,21.22,12.69,0.0
1996,5.43,1.62,10.39,6.85,0.0
