年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,87.83,3.54,18.62,12.21,2.5
2019,80.16,3.76,20.94,13.96,2.65
2018,69.15,3.25,19.11,12.71,2.5
2017,58.33,2.39,15.01,9.93,2.0
2016,54.5,2.98,18.89,12.46,1.6
2015,50.22,3.47,21.5,14.24,1.6
2014,42.32,2.9,18.22,12.28,1.6
2013,38.32,2.83,17.9,12.53,1.6
2012,40.09,3.93,23.65,17.09,2.0
2011,40.49,5.34,30.37,21.57,2.4
2010,34.46,5.79,32.8,21.5,2.5
2009,24.44,4.03,23.93,13.84,2.0
2008,16.19,2.21,14.78,7.94,1.4
2007,12.11,1.2,8.38,4.74,0.9
2006,12.59,0.78,5.49,3.23,1.3
2005,10.12,1.73,12.55,7.52,1.1
2004,10.67,1.56,11.71,7.32,1.1
2003,8.68,1.27,9.91,5.94,0.5
2002,6.3,0.56,4.54,2.59,0.6
2001,6.45,0.77,6.23,3.46,0.5
2000,5.65,0.56,4.63,2.54,0.6
1999,7.59,1.35,11.29,6.44,0.0
1998,7.54,1.75,14.31,9.23,0.0
1997,8.28,2.62,20.31,14.98,0.0
1996,7.06,2.61,20.04,14.59,0.0
1995,7.54,3.96,27.2,20.15,0.0
1994,6.36,3.07,24.32,19.39,0.0
