季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,20.24,1.25,5.18,3.01
2020Q4,17.9,0.67,2.94,1.69
2020Q3,16.53,0.99,4.45,2.49
2020Q2,14.82,0.87,3.95,2.29
2020Q1,19.51,0.82,3.55,2.16
2019Q4,18.05,0.4,1.81,1.06
2019Q3,17.32,1.24,5.39,2.94
2019Q2,15.07,0.7,2.84,1.6
2019Q1,25.31,0.98,3.61,2.09
2018Q4,22.56,1.12,4.49,2.44
2018Q3,20.12,2.71,10.66,5.62
2018Q2,13.61,2.78,12.2,6.37
2018Q1,13.98,2.08,9.73,4.85
2017Q4,10.26,1.08,5.76,2.66
2017Q3,8.52,0.96,5.69,2.53
2017Q2,6.8,0.56,3.24,1.48
2017Q1,9.15,0.8,4.25,1.9
2016Q4,7.82,0.67,3.87,1.61
2016Q3,6.79,0.6,3.51,1.51
2016Q2,5.79,0.62,3.51,1.66
2016Q1,8.07,0.46,2.59,1.23
2015Q4,7.31,0.56,3.28,1.49
2015Q3,6.47,0.76,4.62,1.96
2015Q2,5.2,0.28,1.68,0.71
2015Q1,7.9,0.65,3.58,1.54
2014Q4,6.87,1.09,5.9,2.46
2014Q3,5.27,0.39,1.83,0.78
2014Q2,4.71,0.44,2.62,1.2
