年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,-1.4,-2.46,-26.28,-11.02,0.0
2019,1.07,-3.06,-24.75,-12.08,0.0
2018,5.12,11.66,91.6,30.78,0.4
2017,-3.75,-3.82,-49.27,-8.57,0.0
2016,-3.49,-2.36,-31.44,-7.05,0.0
2015,-1.4,-0.93,-10.0,-2.92,0.0
2014,-0.49,-2.17,-19.87,-7.26,0.0
2013,1.53,-0.14,-1.13,-0.52,0.0
2012,1.84,-0.51,-4.02,-2.07,0.1
2011,0.84,1.94,14.49,6.33,0.7
2010,-0.58,2.46,25.58,8.35,0.0
2009,-3.61,-1.33,-16.68,-5.0,0.0
2008,-6.25,-1.47,-24.73,-8.08,0.0
2007,-4.69,-0.16,-2.47,-0.84,0.0
2006,-4.5,0.01,0.17,0.05,0.0
2005,-5.96,-0.9,-14.44,-4.44,0.0
