季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,1.03,0.16,0.82,0.76
2020Q4,1.3,0.16,0.81,0.76
2020Q3,1.19,0.25,1.24,1.17
2020Q2,1.04,0.07,0.35,0.33
2020Q1,1.0,0.13,0.65,0.61
2019Q4,0.98,0.03,0.17,0.16
2019Q3,0.97,0.01,0.05,0.04
2019Q2,0.96,0.04,0.21,0.19
2019Q1,1.3,-0.03,-0.15,-0.14
2018Q4,1.32,0.25,1.25,1.18
2018Q3,1.17,0.16,0.83,0.77
2018Q2,1.07,0.21,1.08,1.0
2018Q1,1.43,0.14,0.67,0.63
2017Q4,1.35,0.22,1.09,1.01
2017Q3,1.22,0.28,1.4,1.28
2017Q2,1.05,0.28,1.43,1.33
2017Q1,1.29,0.2,1.0,0.94
2016Q4,1.18,0.29,1.48,1.39
2016Q3,1.0,0.14,0.72,0.66
2016Q2,0.92,0.22,1.13,1.05
2016Q1,0.97,0.25,1.25,1.17
2015Q4,0.83,0.17,0.87,0.82
2015Q3,0.73,0.15,0.76,0.7
2015Q2,0.85,0.43,2.14,1.97
2015Q1,1.19,0.01,0.05,0.05
2014Q4,1.18,0.39,1.91,1.8
2014Q3,0.95,0.28,1.37,1.27
2014Q2,0.79,0.21,1.01,0.94
