年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,5.04,0.21,1.61,0.72,0.21
2019,5.41,0.84,6.56,3.0,0.4
2018,4.72,1.09,8.81,3.9,0.5
2017,3.6,0.91,7.72,3.33,0.45
2016,2.91,1.23,11.08,4.66,0.5
2015,-0.91,-1.06,-9.65,-4.01,0.0
2014,1.0,0.04,0.32,0.13,0.0
2013,0.92,-0.3,-2.47,-0.94,0.0
2012,1.73,-0.77,-6.06,-2.2,0.0
2011,1.78,0.04,0.3,0.11,0.0
2010,1.72,-0.23,-1.77,-0.64,0.0
2009,2.08,-0.19,-1.41,-0.53,0.0
2008,2.86,0.4,2.92,1.12,0.1
2007,2.75,0.46,3.57,1.42,0.15
2006,2.98,0.77,5.72,2.54,0.3
2005,2.79,0.7,5.08,2.43,0.3
