季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,5.58,0.22,1.06,0.46
2020Q4,5.37,0.33,1.38,0.61
2020Q3,5.12,0.29,1.34,0.59
2020Q2,4.89,0.62,5.16,2.3
2020Q1,4.55,0.08,0.61,0.27
2019Q4,4.49,0.23,1.25,0.59
2019Q3,4.3,0.47,1.55,0.78
2019Q2,3.91,0.27,0.94,0.47
2019Q1,4.02,0.08,0.07,0.03
2018Q4,3.9,0.49,2.82,1.37
2018Q3,3.5,0.8,4.82,2.28
2018Q2,2.86,0.9,5.56,2.53
2018Q1,2.79,-0.49,-3.59,-1.66
2017Q4,3.14,0.08,0.77,0.37
2017Q3,3.07,0.43,2.18,1.01
2017Q2,2.73,1.04,5.46,2.6
2017Q1,2.54,0.14,1.33,0.68
2016Q4,2.43,0.55,4.45,2.37
2016Q3,2.01,0.48,4.08,2.26
2016Q2,1.63,0.38,3.22,1.75
2016Q1,1.57,0.42,3.54,1.88
2015Q4,1.24,0.48,2.63,1.39
2015Q3,0.87,0.51,4.33,2.21
2015Q2,-1.81,0.39,3.34,1.61
2015Q1,-2.11,0.16,1.71,0.79
2014Q4,-2.28,0.38,3.35,1.51
2014Q3,-2.62,0.36,3.1,1.42
2014Q2,-2.57,0.32,3.1,1.54
