年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,2.59,-0.24,-1.49,-1.28,0.5
2019,3.64,1.35,7.98,6.46,1.0
2018,3.64,1.59,9.66,7.7,1.5
2017,2.72,0.54,3.3,2.81,0.6
2016,3.07,0.5,2.91,2.5,1.0
2015,3.51,0.73,4.15,3.37,1.0
2014,4.22,2.5,14.43,10.9,1.5
2013,3.31,1.48,8.99,6.71,1.3
2012,2.98,1.22,7.36,5.69,1.0
2011,3.6,1.71,10.27,8.18,1.5
2010,3.36,1.26,7.35,5.85,1.3
2009,4.5,3.19,18.98,13.1,2.5
2008,4.2,3.93,22.02,13.66,1.5
2007,3.83,4.16,26.2,16.75,3.0
2006,2.91,3.96,24.92,15.48,1.0
2005,1.6,1.97,13.38,7.98,1.5
2000,0.075,0.72,6.86,3.58,1.2
1999,-0.41,-1.45,-13.29,-6.62,0.5
1998,2.19,4.06,26.5,13.2,0.8
