年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,52.54,1.9,9.88,6.53,1.2
2019,47.86,1.48,8.28,5.05,0.6
2018,41.01,0.52,2.95,1.88,0.3
2017,42.54,1.09,5.85,3.83,0.2
2016,41.53,1.32,7.32,5.38,0.6
2015,39.11,1.08,6.03,5.3,0.6
2014,37.56,1.06,5.48,4.94,0.3
2013,37.23,1.14,5.76,5.21,1.0
2012,36.63,1.32,6.74,6.04,1.0
2011,36.59,4.14,18.99,16.86,1.0
2010,32.91,4.64,19.79,17.45,1.5
2009,25.17,3.78,17.0,14.89,0.6
2008,17.93,1.3,6.0,5.15,1.0
2007,19.85,3.01,14.04,12.07,2.0
2006,14.64,1.41,7.86,6.79,1.0
2005,13.08,1.28,7.53,6.41,0.8
2001,7.13,-0.4,-2.66,-2.2,0.6
