季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,-0.57,-0.1,-0.57,-0.25
2020Q4,-0.51,-0.54,-3.71,-1.07
2020Q3,-0.29,0.35,3.27,0.8
2020Q2,-0.43,-0.58,-5.4,-1.46
2020Q1,-0.46,-0.89,-7.64,-2.46
2019Q4,-0.098,-0.8,-6.16,-2.07
2019Q3,0.23,-0.2,-1.47,-0.52
2019Q2,0.31,0.01,0.1,0.04
2019Q1,0.71,0.25,1.75,0.66
2018Q4,0.61,0.44,3.23,1.32
2018Q3,0.44,0.41,3.03,1.31
2018Q2,0.27,0.32,2.46,1.09
2018Q1,0.11,0.14,1.13,0.53
2017Q4,0.052,0.46,3.71,1.73
2017Q3,-0.15,0.12,1.02,0.48
2017Q2,-0.2,-0.86,-6.72,-3.31
2017Q1,0.36,-0.89,-6.42,-3.2
2016Q4,0.73,-0.27,-1.74,-0.91
2016Q3,0.84,0.07,0.5,0.28
2016Q2,0.81,0.58,3.98,2.07
2016Q1,0.82,0.41,3.12,1.41
2015Q4,0.68,0.41,3.21,1.4
2015Q3,0.54,0.28,2.29,1.04
2015Q2,0.45,0.26,2.03,1.06
2015Q1,0.9,-0.23,-1.65,-0.96
2014Q4,0.97,0.1,0.72,0.43
2014Q3,0.95,0.08,0.61,0.34
2014Q2,0.92,0.6,4.38,2.36
