年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,4.22,-0.24,-1.38,-1.19,0.3
2019,6.02,3.2,48.18,39.96,1.5
2018,2.68,-0.12,-2.71,-2.27,0.3
2017,3.01,0.25,1.61,1.38,0.4
2016,3.44,0.72,5.09,4.39,0.65
2015,3.63,1.0,5.6,4.69,0.9
2014,3.59,1.05,6.63,5.36,0.95
2013,4.66,1.21,6.37,4.85,0.5
2012,4.46,0.99,4.87,3.51,1.0
2011,4.01,1.25,6.31,4.46,1.1
2010,4.83,2.52,12.74,9.32,2.2
2009,3.09,0.42,3.08,2.34,0.5
2008,3.2,0.63,2.45,1.89,0.55
2007,3.34,0.88,6.34,4.97,0.75
2006,3.11,0.43,4.82,3.59,0.6
2005,3.47,1.11,7.6,5.62,0.8
2004,2.78,0.23,1.37,1.08,0.3
2003,2.83,0.27,1.59,1.21,0.2
2002,4.14,0.5,2.57,2.05,0.2
2001,4.9,1.3,7.84,6.92,1.1
1998,2.85,2.58,15.75,11.08,0.0
1997,2.23,3.06,19.99,13.44,0.3
